id,question,optionA,optionB,optionC,scoreA,scoreB,scoreC
1,葬儀に使える予算の目安は？,200万円以上,50〜200万円,50万円未満,A,B,C
2,互助会・葬儀保険・生命保険の準備はありますか？,ある,少しある,まったくない,A,B,C
3,香典収入（参列者からの香典）はどのくらい見込めますか？,50万円以上見込める,10〜50万円程度,ほとんど見込めない,A,B,C
4,参列者の人数はどのくらいを想定していますか？,50人以上,10〜50人,10人未満,A,B,C
5,返礼品・料理にかけられる金額は？,1人あたり1万円以上,1人あたり5千〜1万円,できるだけ抑えたい,A,B,C
6,戒名・読経などの宗教費用は？,しっかりかけたい,ある程度かける,省略できるなら省略したい,A,B,C
7,葬儀後の法要（四十九日・一周忌）の費用も含めて考えていますか？,はい,少し考えている,葬儀のみ考えている,A,B,C
8,故人の預貯金はすぐに引き出せる状況ですか？,はい,一部は引き出せる,亡くなった後は引き出せない状況,A,B,C
9,お墓の費用も含めて考えていますか？,はい（お墓もこれから必要）,既にお墓がある,まだ考えていない,B,A,C
10,葬儀費用について一番の不安は？,総額がいくらになるかわからない,急な出費に対応できるか,費用を抑える方法を知りたい,A,B,C